FULL ADDRESS,PURCHASE DATE,PURCHASE PRICE,SOLD DATE,SOLD PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE,PRICE CHANGE %,PURCHASE DATE SU,PURCHASE PRICE SU,SOLD DATE SU
"240 WEST 98TH ST.NY,NY, 13B",2008-03-04,1004529,2009-03-06,2300000,1295471,367,3529.893732970027,128.9630264531935,0.09733620971869085,-0.28135322937017154,-1.1636686380995098
"155 FRANKLIN STREET, 4S",2014-09-15,4750000,2015-05-14,5600000,850000,241,3526.9709543568465,17.894736842105264,2.2402496807620653,3.3479056095284476,0.48631953819035645
"15 BROAD STREET, 1414",2006-06-16,1071460,2006-11-22,1625000,553540,159,3481.383647798742,51.66221790827469,-0.46578480719002485,-0.21649892310366367,-1.7732881634101463
"250 EAST 53RD STREET, 2901",2008-05-09,2300511,2008-09-16,2750000,449489,130,3457.607692307692,19.538659019669975,0.15661210623539776,0.9744178414920804,-1.2885128762170173
"597 BROADWAY, 4W",2004-12-15,2500000,2007-03-22,5350000,2850000,827,3446.1910519951634,113.99999999999999,-0.9579543722075308,1.1677172199982941,-1.6856781717487375
"225 WEST 60TH   STREET, 15B",2013-11-19,1252598,2014-04-25,1790000,537402,157,3422.9426751592355,42.9029904247013,1.9708137875043064,-0.04098116110245795,0.20596756487384818
"70 LITTLE WEST STREET, 3A",2015-06-24,490000,2015-12-09,1065000,575000,168,3422.6190476190477,117.34693877551021,2.4935194204243585,-0.7799177413153093,0.6389069403339768
"15 BROAD STREET, 2216",2006-07-18,1097216,2006-11-01,1460000,362784,106,3422.490566037736,33.06404573028465,-0.43704497857586394,-0.19154206436555762,-1.7886199119508928
"48 BEACH STREET, 3C",2012-02-22,2687290,2013-03-28,4042819,1355529,400,3388.8225,50.44222990447626,1.399609693797858,1.349196101542784,-0.08095515781726573
"212 WEST 18TH   STREET, 16D",2013-11-26,5905850,2017-09-15,10600000,4694150,1389,3379.517638588913,79.48305493705394,1.977100625013654,4.467892609545526,1.1105407287778943
"200 EAST 79TH   STREET, 5A",2013-10-24,3253308,2014-10-28,4500000,1246692,369,3378.569105691057,38.32074921894883,1.9474626767553007,1.89765204459393,0.34176305194903184
"28 LAIGHT STREET, 6AB",2009-07-21,4400000,2011-08-03,6900000,2500000,743,3364.737550471063,56.81818181818182,0.5499885103917255,3.0087651933793125,-0.521195365915845
"39 VESTRY STREET, 1A",2011-05-24,3550000,2013-02-20,5687500,2137500,638,3350.3134796238246,60.2112676056338,1.153524911289105,2.185138468445699,-0.10723815531568837
"151 EAST 58 STREET, 33F",2005-05-19,3843893,2005-11-01,4400000,556107,166,3350.0421686746986,14.46728616015066,-0.8187458273576887,2.4699127379408927,-2.0551003032543447
"2211 BROADWAY, 3B",2015-05-28,4100000,2017-05-22,6500000,2400000,725,3310.344827586207,58.536585365853654,2.46927019003116,2.7180734081086255,1.0258510701718657
"25 COLUMBUS CIRCLE, ST57E",2003-12-31,2153465,2004-05-14,2600000,446535,135,3307.6666666666665,20.735651612633593,-1.272296247674916,0.8319342939690356,-2.446424932675304
"15 BROAD STREET, 1914",2006-06-15,1174485,2006-11-21,1700000,525515,159,3305.125786163522,44.74429217912532,-0.46668292683421736,-0.11667051917862188,-1.7740182466739913
"768 5 AVENUE, 902",2013-06-25,3250000,2014-10-10,4800000,1550000,472,3283.898305084746,47.69230769230769,1.8387901998080047,1.8944466831750117,0.32862155319982056
"15 BROAD STREET, 1724",2007-01-08,656771,2007-07-11,1255000,598229,184,3251.2445652173915,91.08639084247021,-0.2807721604863639,-0.6183212089107168,-1.6046389294619343
"5 FRANKLIN PLACE, 12A",2016-04-25,3617333,2017-01-23,4500000,882667,273,3233.2124542124543,24.401043531242493,2.7683440315472723,2.2503823017044695,0.9389711617743021
"151 EAST 58TH STREET, 37F",2006-03-09,3450000,2007-09-10,5225000,1775000,550,3227.2727272727275,51.449275362318836,-0.5546986519650853,2.0882412066888034,-1.5601038503673847
"41 WEST 72ND STREET, 12A",2017-07-17,1400000,2018-06-26,2495000,1095000,344,3183.139534883721,78.21428571428571,3.170701632145525,0.10184734067244144,1.3178843757098953
"15 CENTRAL PARK WEST, 11K",2007-12-03,5162527,2010-10-07,8450000,3287473,1039,3164.0741097208856,63.67953136128877,0.014709202452978179,3.7476329765363166,-0.7402203450693672
"15 BROAD STREET, 2130",2006-11-15,605858,2007-04-16,1085000,479142,152,3152.25,79.08486807139626,-0.32927062127276047,-0.6676545117890051,-1.6674260901526106
"38 LAIGHT STREET, 4A",2005-01-12,1570802,2006-12-06,3750000,2179198,693,3144.5858585858587,138.73155241717288,-0.93280702217014,0.26734980169845446,-1.7630669977163151
"721 5 AVENUE, 42A",2008-07-15,1625000,2009-11-10,3137500,1512500,483,3131.4699792960664,93.07692307692308,0.21678612239629722,0.31986617962545677,-0.9818779054020865
"73 WORTH STREET, 2B",2014-03-13,3600000,2015-01-29,4600000,1000000,322,3105.590062111801,27.77777777777778,2.0731994269422547,2.233587099324147,0.4096607954866237
"15 CENTRAL PARK WEST, 23C",2008-06-30,4734862,2009-08-14,6000000,1265138,410,3085.70243902439,26.71963829146446,0.20331432773340927,3.3332373020436887,-1.0461252326204529
"15 WEST 53 STREET, 45B/C",2004-07-06,2775000,2006-10-04,5300000,2525000,820,3079.268292682927,90.990990990991,-1.1034497545667206,1.4341846898297572,-1.8090622433385548
"1107 BROADWAY, 5A",2015-10-30,1325214,2016-04-29,1885000,559786,182,3075.747252747253,42.24117765130764,2.608478734881002,0.029381754494929434,0.7425787637999772
"25 COLUMBUS CIRCLE, ST61B",2005-06-14,5046674,2008-07-16,8500000,3453326,1128,3061.459219858156,68.42776054090278,-0.795394716608683,3.6353745918731004,-1.3337780385754119
"310 WEST 52ND   STREET, 36J",2007-05-31,1247356,2007-09-07,1550000,302644,99,3057.010101010101,24.262840760777195,-0.15234105136683224,-0.046060515563754414,-1.56229410015892
"65 LEONARD STREET, 5",2012-12-04,2150000,2015-05-06,4847500,2697500,883,3054.9263873159684,125.46511627906978,1.6564719120369213,0.8285768038491591,0.48047887207959583
"207 EAST 57TH STREET, 19A",2012-06-05,1791213,2012-12-20,2395000,603787,198,3049.429292929293,33.70827478362428,1.493014136793881,0.4809220253094458,-0.15250331767408293
"13 RECTOR STREET, 1901",2008-01-31,1965000,2008-05-29,2325000,360000,119,3025.2100840336134,18.3206106870229,0.06769826146033739,0.6493168695989021,-1.3688220352399754
"40 MERCER STREET, 18",2007-04-20,3640243,2007-11-21,4289700,649457,215,3020.7302325581395,17.841034238648355,-0.1891639567787259,2.2725814643729745,-1.5075378553705394
"15 BROAD STREET, 1710",2006-06-20,1608835,2006-10-06,1935000,326165,108,3020.046296296296,20.27336550982543,-0.46219232861325477,0.30420273726245456,-1.8076020768108647
