SALE DATE,BLOCK,LOT,YEAR BUILT,ZIP CODE,SALE PRICE
2015-09-08,720,14,1900,10011,3370000
2015-09-30,720,14,1900,10011,1750000
2015-05-19,720,21,1900,10011,301158
2015-07-22,720,21,1900,10011,1450000
2015-08-18,720,22,1900,10011,294060
2015-09-30,720,38,1900,10011,2862500
2015-08-12,720,63,1920,10011,2025000
2015-07-23,720,64,1920,10011,1950000
2015-06-30,720,68,1900,10011,2950000
2015-07-16,720,69,1900,10011,1820000
2015-04-30,720,75,1900,10011,521000
2015-09-01,720,75,1900,10011,654001
2015-11-02,720,77,1900,10011,630000
2015-11-18,720,77,1900,10011,661000
2015-01-13,722,13,1900,10011,999900
2015-05-04,722,46,1910,10001,275000
2015-11-02,722,46,1910,10001,280000
2015-03-19,738,51,1900,10011,545000
2015-07-07,738,51,1900,10011,520000
2015-09-01,740,48,1900,10011,672500
2015-01-26,740,49,1900,10011,770000
2015-09-22,740,49,1900,10011,780000
2015-03-18,741,41,1900,10011,240000
2015-06-25,741,41,1900,10011,585000
2015-07-23,741,41,1900,10011,264000
2015-10-28,742,47,1920,10011,750000
2015-03-05,742,56,1910,10011,2240000
2015-07-02,742,59,1920,10011,522000
2015-04-16,742,60,1920,10011,944000
2015-04-13,742,60,1920,10011,795000
2015-05-27,742,60,1920,10011,949000
2015-07-29,742,60,1920,10011,740000
2015-12-23,742,60,1920,10011,694500
2015-11-17,743,6,1910,10011,1500000
2015-06-04,743,80,1920,10011,3200000
2015-05-27,744,3,1940,10011,590500
2015-10-23,744,3,1940,10011,740000
2015-07-28,744,31,1850,10011,1350000
2015-06-25,744,32,1850,10011,570000
2015-11-17,745,1,1910,10011,670000
2015-07-01,745,12,1920,10011,479000
2015-04-24,745,17,1900,10011,585000
2015-05-18,745,17,1900,10011,565000
2015-12-04,745,17,1900,10011,655000
2015-12-15,745,17,1900,10011,435000
2015-06-10,745,18,1900,10011,930000
2015-09-17,745,21,1864,10011,352000
2015-10-29,746,12,1910,10011,2150000
2015-08-13,746,71,1900,10011,630000
2015-05-29,746,72,1910,10011,690000
2015-10-22,746,72,1910,10011,750000
2015-04-27,753,8,1900,10001,1150000
2015-04-28,753,13,1900,10001,1100000
2015-05-27,765,52,1901,10011,1250000
2015-04-02,765,59,1901,10011,475000
2015-10-19,765,59,1901,10011,459000
2015-03-24,765,62,1915,10011,587500
2015-03-16,766,23,1910,10011,1240000
2015-05-27,766,23,1910,10011,600000
2015-12-15,766,23,1910,10011,1350000
2015-12-03,766,23,1910,10011,760000
2015-02-17,770,28,1901,10011,799000
2015-03-11,771,8,1900,10011,1200000
2015-02-10,771,71,1905,10011,778000
2015-08-14,772,12,1917,10011,367900
2015-09-16,772,12,1917,10011,603000
2015-06-12,774,13,1920,10011,1235000
2015-07-22,791,25,1911,10011,737172
2015-08-13,791,25,1911,10011,725000
2015-12-09,791,66,1910,10011,1640000
2015-04-24,791,70,1920,10011,600000
2015-01-29,694,42,2003,10011,1185000
2015-01-13,694,42,2003,10011,850000
2015-02-26,694,42,2003,10011,1195000
2015-04-01,694,42,2003,10011,859000
2015-04-13,694,42,2003,10011,1400000
2015-05-12,694,42,2003,10011,800000
2015-06-08,694,42,2003,10011,660000
2015-06-12,694,42,2003,10011,782500
2015-06-11,694,42,2003,10011,810000
2015-07-16,694,42,2003,10011,799000
2015-07-16,694,42,2003,10011,1230000
2015-08-04,694,42,2003,10011,1225000
2015-08-24,694,42,2003,10011,772500
2015-09-29,694,42,2003,10011,1185000
2015-10-05,694,42,2003,10011,835000
2015-11-23,694,42,2003,10011,810000
2015-12-29,694,42,2003,10011,790000
2015-11-19,720,49,1920,10011,1775000
2015-06-24,722,20,1920,10011,880000
2015-02-18,738,18,1900,10014,335000
2015-06-04,740,19,1902,10011,4251000
2015-01-22,742,22,1928,10011,695000
2015-01-26,742,22,1928,10011,615000
2015-06-30,742,22,1928,10011,399000
2015-08-11,742,22,1928,10011,545000
2015-06-26,742,22,1928,10011,345000
2015-03-10,742,49,1900,10011,850000
2015-06-03,744,1,1928,10011,812500
2015-07-14,744,1,1928,10011,441105
2015-08-31,744,1,1928,10011,999000
2015-09-18,744,1,1928,10011,855000
2015-10-08,744,1,1928,10011,860200
2015-12-14,746,18,1910,10011,1415000
