FULL ADDRESS,FIRST SALE,FIRST PRICE,LAST SALE,LAST PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE
"300 EAST 55 STREET, 3E",2004-12-22,987702,2005-04-12,1380000,392298,111,3534.2162162162163
"240 WEST 98TH ST.NY,NY, 13B",2008-03-04,1004529,2009-03-06,2300000,1295471,367,3529.893732970027
"155 FRANKLIN STREET, 4S",2014-09-15,4750000,2015-05-14,5600000,850000,241,3526.9709543568465
"201 EAST 80TH STREET, 8G",2012-12-21,200000,2016-02-12,4200000,4000000,1148,3484.320557491289
"15 BROAD STREET, 1414",2006-06-16,1071460,2006-11-22,1625000,553540,159,3481.383647798742
"250 EAST 53RD STREET, 2901",2008-05-09,2300511,2008-09-16,2750000,449489,130,3457.607692307692
"597 BROADWAY, 4W",2004-12-15,2500000,2007-03-22,5350000,2850000,827,3446.1910519951634
"225 WEST 60TH   STREET, 15B",2013-11-19,1252598,2014-04-25,1790000,537402,157,3422.9426751592355
"70 LITTLE WEST STREET, 3A",2015-06-24,490000,2015-12-09,1065000,575000,168,3422.6190476190477
"15 BROAD STREET, 2216",2006-07-18,1097216,2006-11-01,1460000,362784,106,3422.490566037736
"48 BEACH STREET, 3C",2012-02-22,2687290,2013-03-28,4042819,1355529,400,3388.8225
"212 WEST 18TH   STREET, 16D",2013-11-26,5905850,2017-09-15,10600000,4694150,1389,3379.517638588913
"200 EAST 79TH   STREET, 5A",2013-10-24,3253308,2014-10-28,4500000,1246692,369,3378.569105691057
"28 LAIGHT STREET, 6AB",2009-07-21,4400000,2011-08-03,6900000,2500000,743,3364.737550471063
"39 VESTRY STREET, 1A",2011-05-24,3550000,2013-02-20,5687500,2137500,638,3350.3134796238246
"151 EAST 58 STREET, 33F",2005-05-19,3843893,2005-11-01,4400000,556107,166,3350.0421686746986
"2211 BROADWAY, 3B",2015-05-28,4100000,2017-05-22,6500000,2400000,725,3310.344827586207
"25 COLUMBUS CIRCLE, ST57E",2003-12-31,2153465,2004-05-14,2600000,446535,135,3307.6666666666665
"15 BROAD STREET, 1914",2006-06-15,1174485,2006-11-21,1700000,525515,159,3305.125786163522
"768 5 AVENUE, 902",2013-06-25,3250000,2014-10-10,4800000,1550000,472,3283.898305084746
"15 BROAD STREET, 1724",2007-01-08,656771,2007-07-11,1255000,598229,184,3251.2445652173915
"744 GREENWICH STREET, PH",2007-05-11,7076837,2008-07-22,8500000,1423163,438,3249.2305936073058
"5 FRANKLIN PLACE, 12A",2016-04-25,3617333,2017-01-23,4500000,882667,273,3233.2124542124543
"1 YORK STREET, 11A",2008-12-08,14747425,2012-12-18,19500000,4752575,1471,3230.846363018355
"151 EAST 58TH STREET, 37F",2006-03-09,3450000,2007-09-10,5225000,1775000,550,3227.2727272727275
"155 WEST 68TH   STREET, 34-B",2012-05-08,15000,2013-11-01,1750000,1735000,542,3201.1070110701107
"41 WEST 72ND STREET, 12A",2017-07-17,1400000,2018-06-26,2495000,1095000,344,3183.139534883721
"15 CENTRAL PARK WEST, 11K",2007-12-03,5162527,2010-10-07,8450000,3287473,1039,3164.0741097208856
"145 EAST 48TH   STREET, 22G",2017-07-27,250000,2018-03-09,960000,710000,225,3155.5555555555557
"15 BROAD STREET, 2130",2006-11-15,605858,2007-04-16,1085000,479142,152,3152.25
"38 LAIGHT STREET, 4A",2005-01-12,1570802,2006-12-06,3750000,2179198,693,3144.5858585858587
"721 5 AVENUE, 42A",2008-07-15,1625000,2009-11-10,3137500,1512500,483,3131.4699792960664
"73 WORTH STREET, 2B",2014-03-13,3600000,2015-01-29,4600000,1000000,322,3105.590062111801
"15 CENTRAL PARK WEST, 23C",2008-06-30,4734862,2009-08-14,6000000,1265138,410,3085.70243902439
"15 WEST 53 STREET, 45B/C",2004-07-06,2775000,2006-10-04,5300000,2525000,820,3079.268292682927
"1107 BROADWAY, 5A",2015-10-30,1325214,2016-04-29,1885000,559786,182,3075.747252747253
"25 COLUMBUS CIRCLE, ST61B",2005-06-14,5046674,2008-07-16,8500000,3453326,1128,3061.459219858156
"310 WEST 52ND   STREET, 36J",2007-05-31,1247356,2007-09-07,1550000,302644,99,3057.010101010101
"65 LEONARD STREET, 5",2012-12-04,2150000,2015-05-06,4847500,2697500,883,3054.9263873159684
"207 EAST 57TH STREET, 19A",2012-06-05,1791213,2012-12-20,2395000,603787,198,3049.429292929293
"13 RECTOR STREET, 1901",2008-01-31,1965000,2008-05-29,2325000,360000,119,3025.2100840336134
"40 MERCER STREET, 18",2007-04-20,3640243,2007-11-21,4289700,649457,215,3020.7302325581395
"15 BROAD STREET, 1710",2006-06-20,1608835,2006-10-06,1935000,326165,108,3020.046296296296
"222 WEST 14 STREET, 8E",2004-04-20,400000,2004-12-17,1125000,725000,241,3008.298755186722
"230 WEST 56 STREET, 63A",2003-06-04,2810370,2003-11-14,3300000,489630,163,3003.865030674847
"15 BROAD STREET, 2112",2006-06-29,1092065,2006-12-14,1596000,503935,168,2999.6130952380954
"230 WEST 56 STREET, 49B",2003-03-10,1114934,2003-08-19,1600000,485066,162,2994.2345679012346
"2211 BROADWAY, 7J",2010-12-28,3906261,2013-02-25,6250000,2343739,790,2966.7582278481013
"150 CHARLES STREET, 6DN",2015-12-21,7000594,2016-06-07,7500000,499406,169,2955.0650887573966
"1107 BROADWAY, 2D",2017-03-03,3003837,2018-04-30,4250000,1246163,423,2946.0118203309694
"7 HUBERT STREET, 6B",2004-08-18,4505756,2007-06-12,7520000,3014244,1028,2932.1439688715955
"65 WEST 13TH STREET, 11A",2009-03-31,3750000,2011-09-09,6350000,2600000,892,2914.798206278027
"101 WEST 87TH   STREET, 202",2014-02-06,274395,2014-09-05,888000,613605,211,2908.0805687203792
"52 EAST 72ND STREET, 7",2007-11-15,1650000,2010-06-22,4400000,2750000,950,2894.7368421052633
"22 GRAMERCY PARK SOUTH, 2",2012-07-26,9186142,2016-09-30,13600000,4413858,1527,2890.542239685658
"123 WASHINGTON STREET, 43B",2013-09-19,2026875,2014-02-04,2425000,398125,138,2884.963768115942
"1 MORTON SQUARE, 8B W",2004-12-14,2952925,2007-02-27,5275000,2322075,805,2884.5652173913045
"50 CENTRAL PARK WEST, 4A",2003-12-12,228036,2004-08-05,910000,681964,237,2877.4852320675104
"15 BROAD ST, 1030",2007-03-30,880786,2007-08-09,1260000,379214,132,2872.8333333333335
"47 EAST 91ST STREET, 3",2004-09-14,5829481,2007-07-17,8800018,2970537,1036,2867.3137065637065
"217 WEST 19TH STREET, 6N",2008-04-21,2400000,2008-11-06,2970300,570300,199,2865.829145728643
"212 WEST 18TH   STREET, PH5",2014-01-29,14255500,2017-03-08,17500000,3244500,1134,2861.1111111111113
"230 WEST 78TH   STREET, 16A",2011-05-26,7127750,2015-02-09,11000000,3872250,1355,2857.749077490775
"80 RIVERSIDE BOULEVARD, 35C/D",2011-03-29,5500000,2012-04-18,6600000,1100000,386,2849.740932642487
"1 CENTRAL PARK WEST, 28G",2010-12-20,5150000,2012-01-10,6250000,1100000,386,2849.740932642487
"279 CENTRAL PARK WEST, PH6A",2003-08-21,2800000,2004-04-23,3500000,700000,246,2845.528455284553
"59 WEST 12 STREET, 10B",2003-10-30,455000,2006-08-25,3375000,2920000,1030,2834.9514563106795
"40 EAST 61ST STREET, 5A",2005-03-31,900000,2005-08-01,1248000,348000,123,2829.268292682927
"170 EAST END AVENUE, 12B",2008-12-12,5625831,2009-07-23,6250000,624169,223,2798.964125560538
"80 COLUMBUS CIRCLE, NT68D",2004-03-19,4862144,2006-02-17,6800000,1937856,700,2768.365714285714
"49 EAST 21ST STREET, 8A",2004-11-17,1282995,2005-04-08,1675000,392005,142,2760.5985915492956
"88 FRANKLIN STREET, 3",2012-12-21,3576197,2016-04-29,6925000,3348803,1225,2733.7167346938777
"407 GREENWICH STREET, 2A",2017-02-16,3550000,2017-11-07,4270000,720000,264,2727.2727272727275
"5 EAST 22 STREET, 19-C",2003-11-06,915000,2004-06-08,1500000,585000,215,2720.9302325581393
"15 BROAD STREET, 1506",2006-06-16,664511,2006-10-06,969000,304489,112,2718.651785714286
"207 EAST 57TH   STREET, 34A",2007-07-03,3436593,2008-05-16,4300000,863407,318,2715.116352201258
"20 WEST 64TH STREET, 10R",2009-02-19,450000,2010-02-23,1450000,1000000,369,2710.027100271003
"1 CENTRAL PARK WEST, 39G",2004-05-25,5738615,2006-05-01,7650000,1911385,706,2707.344192634561
"345 WEST 13TH STREET, 5F",2009-06-30,3000000,2010-12-01,4400000,1400000,519,2697.495183044316
"25 COLUMBUS CIRCLE, ST56A",2003-12-12,3978047,2008-06-20,8425000,4446953,1652,2691.8601694915255
"217 WEST 14 STREET, 5R",2004-08-30,765000,2005-07-07,1600000,835000,311,2684.887459807074
"207 EAST 57TH STREET, 30B",2010-08-12,970000,2011-12-22,2300000,1330000,497,2676.056338028169
"205 EAST 85TH   STREET, PH1A",2010-08-09,6671874,2013-07-24,9550000,2878126,1080,2664.9314814814816
"80 COLUMBUS CIRCLE, NT64B",2004-07-06,3563875,2008-05-08,7300000,3736125,1402,2664.8537803138374
"56 LEONARD STREET, 20BW",2016-06-22,5927168,2017-02-28,6595000,667832,251,2660.6852589641435
"120 RIVERSIDE BOULEVARD, 7A",2006-02-07,562074,2006-05-15,820000,257926,97,2659.0309278350514
"137 DUANE STREET, 3A",2014-04-03,6211325,2018-04-12,10116000,3904675,1470,2656.2414965986395
"900 PARK AVENUE, 17A",2007-06-05,2200000,2008-06-16,3200000,1000000,377,2652.5198938992044
"41 WEST 72ND STREET, 14C",2005-06-16,610950,2007-03-13,2295000,1684050,635,2652.047244094488
"1107 BROADWAY, 6D",2015-12-17,3614787,2016-06-17,4100000,485213,183,2651.437158469945
"438 EAST 12TH STREET, 3A",2018-03-14,1349181,2018-06-28,1630000,280819,106,2649.235849056604
"225 LAFAYETTE STREET, 4A",2005-01-12,1038615,2005-08-22,1625000,586385,222,2641.373873873874
"1 CENTRAL PARK WEST, 31C",2004-04-27,2272500,2005-11-09,3750000,1477500,561,2633.6898395721923
"205 WEST 76TH   STREET, 1402",2010-05-03,6275323,2012-09-13,8550000,2274677,864,2632.728009259259
"132 WEST 22ND STREET, 5",2011-09-02,3200000,2013-09-03,5125000,1925000,732,2629.781420765027
"1235 PARK AVENUE, 11B",2007-01-11,1725000,2007-06-18,2138325,413325,158,2615.981012658228
"25 CENTRAL PARK WEST, 17R",2009-06-12,3360225,2013-07-30,7300000,3939775,1509,2610.85155732273
"155 FRANKLIN STREET, 2N",2013-10-02,5870000,2017-11-10,9750000,3880000,1500,2586.6666666666665
"1641 3 AVENUE, 8H",2003-02-20,361998,2003-05-29,615000,253002,98,2581.6530612244896
"211 EAST 13TH   STREET, 3K",2014-06-17,1743207,2015-01-09,2275000,531793,206,2581.519417475728
"721 5 AVENUE, 61A/B",2010-01-29,5941967,2013-11-20,9500000,3558033,1391,2557.8957584471605
"151 EAST 58TH   STREET, 34B",2007-03-22,10995000,2011-02-18,14650000,3655000,1429,2557.732680195941
"2211 BROADWAY, 8L",2010-07-27,3865277,2013-09-19,6800000,2934723,1150,2551.933043478261
"54 BLEECKER STREET, 5B",2010-05-18,825000,2014-09-16,4850000,4025000,1582,2544.2477876106195
"2211 BROADWAY, 11C",2010-09-03,3851021,2011-11-09,4950000,1098979,432,2543.9328703703704
"225 5 AVENUE, 7J",2007-02-07,3036930,2007-12-12,3820000,783070,308,2542.435064935065
"141 WEST 24 STREET, RES-7",2003-09-02,1530939,2005-07-07,3239750,1708811,674,2535.327893175074
"123 WASHINGTON STREET, 41A",2013-09-19,1380672,2014-05-16,1985587,604915,239,2531.0251046025105
"140 EAST 63RD STREET, 6D",2007-12-04,2031408,2008-04-18,2375000,343592,136,2526.4117647058824
"161 GRAND STREET, 9A",2005-09-14,100000,2008-07-29,2750000,2650000,1049,2526.2154432793136
"150 CHARLES STREET, 7BS",2016-02-02,12253689,2017-09-19,13750000,1496311,595,2514.8084033613445
"101 WARREN STREET, 960M",2011-02-28,100000,2013-07-24,2300000,2200000,877,2508.551881413911
"93 CROSBY STREET, 6",2012-12-10,560037,2015-12-07,3275000,2714963,1092,2486.2298534798533
"7 HUBERT STREET, 11B",2004-09-10,3446776,2008-02-19,6570000,3123224,1257,2484.66507557677
"15 UNION SQUARE WEST, 18",2011-11-17,5243987,2014-06-24,7600000,2356013,950,2480.013684210526
"7 HUBERT STREET, M9C",2004-11-19,2739092,2007-05-01,4950000,2210908,893,2475.820828667413
"210 LAFAYETTE STREET, 4C",2005-12-19,992793,2006-04-12,1275000,282207,114,2475.5
"79 EAST 2ND   STREET, R2",2009-07-16,2650000,2011-03-14,4150000,1500000,606,2475.2475247524753
"230 WEST 56 STREET, 49E",2003-06-17,926608,2003-11-13,1295000,368392,149,2472.4295302013425
"200 CHAMBERS STREET, 23C",2007-05-21,2072138,2008-01-10,2650000,577862,234,2469.4957264957266
"101 WEST 67TH   STREET, 54P1D",2010-06-23,7000000,2012-12-21,9250000,2250000,912,2467.1052631578946
"161 HUDSON STREET, 2A",2013-07-03,3025000,2015-01-12,4400000,1375000,558,2464.15770609319
"404 EAST 76 STREET, 30C",2003-12-09,1410276,2005-02-03,2450000,1039724,422,2463.8009478672984
"41 BOND STREET, PH",2011-12-23,8196912,2015-08-25,11500000,3303088,1341,2463.152870991797
"30 LITTLE WEST STREET, PH2F",2014-05-29,3032505,2015-10-26,4300000,1267495,515,2461.1553398058254
"160 WOOSTER STREET, PH-B",2005-07-28,5040337,2007-02-01,6400000,1359663,553,2458.7034358047017
"300 EAST 55 STREET, 17B",2005-03-02,1440823,2005-11-15,2075000,634177,258,2458.0503875968993
"308 EAST 72ND STREET, 15C",2006-09-07,1750000,2010-09-20,5350000,3600000,1474,2442.3337856173675
"3 EAST 95TH   STREET, 4",2007-10-24,19219468,2008-09-08,20000000,780532,320,2439.1625
"45 EAST 25TH   STREET, PH-C",2011-07-27,1425000,2013-12-17,3550000,2125000,874,2431.350114416476
"250 WEST STREET, J",2013-08-19,1501918,2014-09-15,2450000,948082,392,2418.576530612245
"150 CHARLES STREET, 4BS",2015-08-27,12877285,2018-01-31,15000000,2122715,888,2390.4448198198197
"220, 30G",2003-07-15,1310742,2003-10-30,1565000,254258,107,2376.2429906542056
"16 WEST 21ST   STREET, PH-A",2012-03-05,4633037,2015-06-25,7500000,2866963,1207,2375.2800331400167
"52 LAIGHT STREET, R6",2013-10-03,3054750,2015-11-19,4900000,1845250,777,2374.839124839125
"1 CENTRAL PARK WEST, 39A",2007-05-18,7250000,2012-04-17,11500000,4250000,1796,2366.369710467706
"103-05 GREENE STREET, 6B",2003-07-23,1934675,2004-03-18,2500000,565325,239,2365.3765690376567
"250 WEST STREET, 3E",2013-04-17,2830735,2014-02-28,3579000,748265,317,2360.457413249211
"250 WEST STREET, 11B",2014-03-04,5600375,2016-05-17,7500000,1899625,805,2359.782608695652
"241 5 AVENUE, 5A",2013-12-18,824782,2014-05-27,1200000,375218,160,2345.1125
"230 WEST 56 STREET, PH-A",2003-09-03,3207488,2004-11-23,4250000,1042512,447,2332.241610738255
"51 WALKER STREET, 3A",2007-02-15,1070156,2007-06-15,1350000,279844,120,2332.0333333333333
"99 JANE STREET, 9C",2008-07-10,4495000,2014-02-14,9250000,4755000,2045,2325.1833740831294
"30 LITTLE WEST STREET, 30A",2016-08-15,1550000,2018-04-11,2950000,1400000,604,2317.880794701987
"230 WEST 56 STREET, 68D",2003-07-11,2998746,2004-09-15,4000000,1001254,432,2317.7175925925926
"124 EAST 13TH STREET, 3",2013-09-18,1181814,2016-06-30,3531937,2350123,1016,2313.113188976378
"120 11TH   AVENUE, 4B",2011-04-06,3512962,2015-08-24,7200000,3687038,1601,2302.9594003747657
"400 EAST 51 STREET, 22A",2003-06-17,3371020,2005-11-15,5400000,2028980,882,2300.4308390022675
"25 COLUMBUS CIRCLE, ST53D",2003-12-05,3926699,2007-08-06,7000000,3073301,1340,2293.508208955224
"21 ASTOR PLACE, 7E",2004-04-23,3003838,2008-04-01,6300000,3296162,1439,2290.5920778318277
"65 WEST 13 STREET, 10G",2003-03-10,1403149,2004-11-09,2800000,1396851,610,2289.9196721311478
"230 WEST 56 STREET, 57D",2003-05-14,1512101,2003-10-31,1900000,387899,170,2281.758823529412
"70 BATTERY PLACE, 22C",2012-08-30,1397548,2013-09-09,2250000,852452,375,2273.2053333333333
"250 WEST STREET, 8H",2013-03-21,2723818,2015-09-01,4750000,2026182,894,2266.422818791946
"188 EAST 64TH STREET, 3803",2006-01-06,1600000,2006-09-28,2200000,600000,265,2264.1509433962265
"59 WEST 12TH   STREET, 2E",2007-09-10,2000000,2008-03-05,2400000,400000,177,2259.8870056497176
"238 EAST 4TH   STREET, -",2010-08-24,3027375,2015-06-15,6995000,3967625,1756,2259.467539863326
"30 WEST 63RD   STREET, 7K",2010-03-16,1008067,2010-12-03,1600000,591933,262,2259.2862595419847
"721 5 AVENUE, 50H",2012-05-31,1680112,2013-05-07,2450000,769888,341,2257.7360703812315
"2211 BROADWAY, 7A",2013-01-04,4022087,2014-01-06,4850000,827913,367,2255.893732970027
"161 WEST 61 STREET, 20B",2003-08-22,350000,2005-11-16,2182500,1832500,817,2242.9620563035496
"15 UNION SQUARE WEST, 27",2010-08-06,7250000,2016-05-24,12000000,4750000,2118,2242.681775259679
"220, 16D",2003-04-29,603250,2003-08-06,825000,221750,99,2239.89898989899
"535 WEST END AVENUE, 8A",2012-09-20,8858775,2013-05-20,9400000,541225,242,2236.46694214876
"1 CENTRAL PARK WEST, 29A",2009-02-12,7200000,2012-11-08,10250000,3050000,1365,2234.4322344322345
"140 FRANKLIN STREET, 5-BC",2012-08-02,14300000,2018-05-10,19000000,4700000,2107,2230.659705742762
"845 UNITED NATIONS PLAZA, 64E",2007-05-30,2998000,2008-08-01,3950000,952000,429,2219.114219114219
"350 WEST 42ND   STREET, 48A",2012-11-26,315000,2014-06-06,1550000,1235000,557,2217.235188509874
"1 CENTRAL PARK WEST, 31D",2007-09-19,7200000,2008-07-31,7900000,700000,316,2215.1898734177216
"245 EAST 93 STREET, 30G",2005-11-21,675000,2007-02-28,1700000,1025000,464,2209.051724137931
"99 JOHN STREET, PH10",2012-04-24,2550000,2014-09-29,4500000,1950000,888,2195.945945945946
"260 PARK AVENUE SOUTH, PHA",2007-08-06,8655125,2012-05-22,12500000,3844875,1751,2195.816676185037
"350 EAST 82ND   STREET, 9D",2013-12-31,1150000,2016-02-24,2870000,1720000,785,2191.082802547771
"144 WEST 18 STREET, 300W",2003-09-11,1560142,2004-09-29,2400000,839858,384,2187.1302083333335
"1 MORTON SQUARE, 4G W",2004-10-26,992868,2005-10-28,1795000,802132,367,2185.6457765667574
"519 WEST 23RD STREET, R3",2007-10-19,1781937,2008-04-16,2175000,393063,180,2183.6833333333334
"900 PARK AVENUE, 27A",2004-06-21,1800000,2005-06-23,2600000,800000,367,2179.8365122615805
"15 BROAD STREET, 2028",2006-10-16,493851,2007-02-22,775000,281149,129,2179.4496124031007
"106 CENTRAL PARK SOUTH, 3D",2012-09-07,1625000,2014-10-17,3295000,1670000,770,2168.8311688311687
"222 WEST 14TH   STREET, 7D",2017-06-15,555000,2017-10-13,815000,260000,120,2166.6666666666665
"7 EAST 20TH STREET, 7R",2013-08-07,2414000,2015-08-10,4000000,1586000,733,2163.7107776261937
"120 RIVERSIDE BOULEVARD, 7S",2006-01-19,1304989,2006-06-15,1622000,317011,147,2156.5374149659865
"245 EAST 93 STREET, 30H",2005-11-21,550000,2007-02-28,1550000,1000000,464,2155.1724137931033
"15 CENTRAL PARK WEST, 16L",2008-05-22,4734862,2013-11-06,9030000,4295138,1994,2154.0310932798393
"15 CENTRAL PARK WEST, 16K",2009-01-07,7127750,2009-06-29,7500000,372250,173,2151.734104046243
"225 5 AVENUE, 10K",2006-11-30,2667815,2007-06-19,3100000,432185,201,2150.1741293532336
"28 EAST 10TH   STREET, 11E",2010-07-13,4100000,2013-03-07,6180000,2080000,968,2148.7603305785124
"1 CENTRAL PARK WEST, PH51A",2004-03-09,11200000,2006-07-18,13050000,1850000,861,2148.664343786295
"10 WEST STREET, PH2B",2005-09-30,4250000,2007-01-09,5250000,1000000,466,2145.922746781116
"200 CHAMBERS STREET, 22F",2008-07-14,2585000,2012-07-11,5700000,3115000,1458,2136.488340192044
"144 COLUMBUS AVENUE, 20C",2011-04-11,3650000,2013-05-23,5300000,1650000,773,2134.540750323415
"215 EAST 80 STREET, 6H",2003-03-07,357334,2003-11-14,895000,537666,252,2133.595238095238
"254 PARK AVENUE SOUTH, 11CDG",2010-08-05,3360225,2013-05-29,5550000,2189775,1028,2130.1313229571983
"157 HUDSON STREET, 5B",2012-04-13,3605875,2017-10-03,7850000,4244125,1999,2123.1240620310155
"635 WEST 42ND STREET, 33E",2010-07-02,618750,2011-05-13,1285000,666250,315,2115.0793650793653
"2211 BROADWAY, 2A",2010-12-28,5303758,2014-06-30,8000000,2696242,1280,2106.4390625
"129 LAFAYETTE STREET, 9A",2005-01-25,2087412,2006-09-05,3325000,1237588,588,2104.7414965986395
"230 WEST 78TH   STREET, 5A",2011-05-11,3360225,2013-08-28,5125000,1764775,840,2100.9226190476193
"2148 BROADWAY, PH3A",2011-11-18,7370000,2014-06-19,9350000,1980000,944,2097.4576271186443
"70 BATTERY PLACE, 24C",2013-01-30,1420458,2015-03-19,3050000,1629542,778,2094.526992287918
"521 PARK AVENUE, 8A",2012-01-26,1450000,2013-06-05,2488000,1038000,496,2092.7419354838707
"250 WEST STREET, 11C",2013-06-17,6050420,2016-10-18,8600000,2549580,1219,2091.5340442986053
"203 WEST 81ST STREET, 7F",2004-11-30,15000,2005-09-30,650000,635000,304,2088.815789473684
"56 LEONARD STREET, 40W",2016-09-01,10978315,2018-08-08,12450000,1471685,706,2084.5396600566573
"15 CENTRAL PARK WEST, 12L",2007-12-06,4439570,2014-08-01,9500000,5060430,2430,2082.4814814814813
"415 GREENWICH STREET, 4H",2010-10-12,2987500,2013-08-05,5125000,2137500,1028,2079.280155642023
"100 UNITED NATIONS PLAZA, 11A/B",2017-01-13,3200000,2018-03-22,4100000,900000,433,2078.5219399538105
"15 BROAD ST, 906",2007-05-29,702592,2007-09-11,920000,217408,105,2070.552380952381
"455 CENTRAL PARK WEST, PH1",2005-10-19,5193075,2008-11-07,7500000,2306925,1115,2068.9910313901346
"40 MERCER STREET, 7",2007-03-27,3309312,2008-07-30,4325000,1015688,491,2068.61099796334
"324 PEARL STREET, 1E",2004-02-24,320194,2004-06-04,529000,208806,101,2067.3861386138615
"1 BOND STREET, 2C",2010-12-15,600000,2017-08-18,5640000,5040000,2438,2067.2682526661197
"140 EAST 63RD STREET, 11E",2007-08-30,1629200,2007-12-27,1875000,245800,119,2065.546218487395
"325 FIFTH AVENUE, 31B",2007-01-04,1568105,2007-06-26,1925000,356895,173,2062.976878612717
"1 CENTRAL PARK WEST, 39D",2004-06-11,4600000,2008-10-07,7850000,3250000,1579,2058.264724509183
"1107 BROADWAY, 5E",2016-03-23,8655125,2018-02-23,10100000,1444875,702,2058.2264957264956
"535 WEST END AVENUE, 7A",2010-12-14,8700000,2015-07-23,12150000,3450000,1682,2051.129607609988
"404 PARK AVENUE SOUTH, 10D",2014-12-11,3675882,2015-09-17,4250000,574118,280,2050.4214285714284
"50 WARREN STREET, 2FL",2003-09-03,2600000,2005-05-12,3864600,1264600,617,2049.5948136142624
"15 BROAD STREET, 2102",2006-06-29,633603,2006-11-29,947000,313397,153,2048.346405228758
"400 EAST 54 STREET, 18G",2003-09-26,370510,2004-12-20,1290000,919490,451,2038.780487804878
"415 WASHINGTON STREET, 1B",2010-05-13,3592386,2014-07-17,6700000,3107614,1526,2036.4442988204455
"129 WEST 118TH STREET, 4",2014-12-01,1216808,2016-06-10,2350000,1133192,557,2034.456014362657
"200 CHAMBERS, 22C",2007-05-23,2158690,2008-03-27,2785000,626310,309,2026.893203883495
"157 CHAMBERS STREET, PH",2011-01-12,7770262,2017-06-19,12500000,4729738,2350,2012.6544680851064
"112 WEST 18TH   STREET, 18-5C",2012-01-27,985000,2013-04-26,1900000,915000,455,2010.989010989011
"155 WEST 68 STREET, 41168",2005-12-13,435000,2006-03-15,620000,185000,92,2010.8695652173913
"310 WEST 52ND   STREET, 12B",2007-03-02,1058980,2007-07-10,1320000,261020,130,2007.8461538461538
"130 WEST 30 STREET, 3A",2004-05-14,972428,2004-09-30,1250000,277572,139,1996.9208633093526
"230 WEST 56 STREET, 63D",2003-06-10,2479439,2005-06-16,3950000,1470561,737,1995.3337856173678
"123 WASHINGTON STREET, 43A",2013-09-19,1380672,2014-02-04,1655000,274328,138,1987.8840579710145
"225 WEST 60TH   STREET, 7E",2007-03-09,539672,2008-03-26,1300000,760328,383,1985.190600522193
"123 THIRD AVENUE, 17A",2012-09-10,3700000,2014-06-03,4950000,1250000,631,1980.9825673534074
"15 CENTRAL PARK WEST, S601",2008-09-12,1028229,2010-11-15,2600000,1571771,794,1979.5604534005038
"285 LAFAYETTE STREET, PHA",2013-02-01,7900000,2016-09-07,10500000,2600000,1314,1978.6910197869101
"25 CENTRAL PARK WEST, 15J",2005-01-20,5525000,2009-03-04,8500000,2975000,1504,1978.0585106382978
"321 5 AVENUE, 38D",2007-02-26,1700477,2007-07-25,1995000,294523,149,1976.6644295302012
"1280 5 AVENUE, 14E",2013-12-18,2485000,2014-12-16,3200000,715000,363,1969.6969696969697
"15 UNION SQUARE WEST, 21",2010-01-22,7448498,2016-05-24,12000000,4551502,2314,1966.9412273120138
"15 CENTRAL PARK WEST, 6L",2007-11-29,2403070,2011-05-23,4900000,2496930,1271,1964.539732494099
"219 WEST 81ST   STREET, 3D",2010-05-27,1600000,2014-04-17,4390000,2790000,1421,1963.4060520760029
"2211 BROADWAY, 6C",2010-12-20,3866804,2014-09-03,6510000,2643196,1353,1953.581670362158
"721 5 AVENUE, 45K",2013-10-31,4100000,2016-03-31,5820000,1720000,882,1950.1133786848072
"57 READE STREET, 7E",2013-04-01,1730000,2013-09-20,2065000,335000,172,1947.6744186046512
"15 CENTRAL PARK WEST, 24C",2007-12-10,5396725,2010-05-03,7100000,1703275,875,1946.6
"200 EAST 69 STREET, 33B",2003-02-07,1475000,2005-04-28,3050000,1575000,811,1942.0468557336621
"1992 BROADWAY, 22-B",2003-08-12,577736,2004-05-25,1134586,556850,287,1940.2439024390244
"15 UNION SQUARE WEST, 13",2012-10-22,4541062,2014-04-22,5600000,1058938,547,1935.9012797074954
"205 WEST 76TH   STREET, PH1A",2010-01-05,5191362,2011-08-01,6300000,1108638,573,1934.7958115183246
"645 5 AVENUE, 31A",2004-08-25,1825000,2005-02-09,2150000,325000,168,1934.5238095238096
"1 MORTON SQUARE, 11B W",2004-12-07,2647450,2008-02-20,4900000,2252550,1170,1925.2564102564102
"845 UNITED NATIONS PLAZA, 54E",2015-06-25,2525000,2016-01-22,2930000,405000,211,1919.431279620853
"502 PARK AVENUE, 4C",2005-02-02,7036107,2009-03-09,9900000,2863893,1496,1914.3669786096257
"60 RIVERSIDE BOULEVARD, 1501",2013-05-17,4497555,2015-06-16,5950000,1452445,760,1911.1118421052631
"140 EAST 63RD STREET, 12A",2007-08-23,3250438,2008-07-15,3875000,624562,327,1909.9755351681956
"117-19 EAST 24 STREET, 0.25",2003-10-31,850000,2004-05-12,1220000,370000,194,1907.2164948453608
"117 EAST 57TH   STREET, 39H",2015-11-23,1170000,2016-05-05,1480000,310000,164,1890.2439024390244
"207 EAST 57TH   STREET, 35A",2007-02-16,3563875,2008-03-12,4300000,736125,390,1887.5
"400 WEST 12TH   STREET, 14C",2009-12-10,11709875,2013-08-19,14250000,2540125,1348,1884.3657270029673
