FULL ADDRESS,FIRST SALE,FIRST PRICE,LAST SALE,LAST PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE
"10 WEST END AVENUE, 6C",2007-07-11,796271,2011-11-10,805000,8729,1583,5.514213518635502
"230 RIVERSIDE DRIVE, 9J",2008-06-30,150000,2013-06-27,160000,10000,1823,5.485463521667581
"120 GREENWICH STREET, 3B",2006-06-28,534581,2014-03-20,550000,15419,2822,5.463855421686747
"220 RIVERSIDE BOULEVARD, 7S",2007-06-06,885000,2014-12-29,900000,15000,2763,5.4288816503800215
"212 EAST 70TH STREET, 2B",2007-11-01,400530,2012-08-24,410000,9470,1758,5.386803185437998
"206 EAST 95TH STREET, 16B",2007-10-23,1120075,2015-06-02,1135000,14925,2779,5.370636919755308
"1845 ADAM C POWELL BLVD, A4B",2010-11-30,967337,2012-04-09,970000,2663,496,5.368951612903226
"245 EAST 93RD   STREET, 22B",2007-09-17,680000,2012-10-24,690000,10000,1864,5.364806866952789
"2132 SECOND AVENUE, 4E",2007-01-23,355305,2014-08-04,370000,14695,2750,5.343636363636364
"321 5 AVENUE, S88",2007-02-13,18826,2007-09-21,20000,1174,220,5.336363636363636
"205 EAST 59TH STREET, 8A",2005-08-25,1435000,2013-05-09,1450000,15000,2814,5.330490405117271
"40 SUTTON PLACE, 2J",2003-11-14,384000,2012-02-15,400000,16000,3015,5.306799336650083
"333 WEST 56TH STREET, 2B",2007-02-07,750000,2012-04-20,760000,10000,1899,5.265929436545551
"20 WEST STREET, PH-C",2006-07-18,712775,2018-08-17,736000,23225,4413,5.262859732608203
"200 RIVERSIDE BOULEVARD, 304",2007-04-16,1165000,2012-07-06,1175000,10000,1908,5.241090146750524
"255 EAST 74TH STREET, 6G",2008-11-12,1369546,2011-09-22,1375000,5454,1044,5.224137931034483
"148 MADISON STREET, 4C",2003-07-31,303186,2015-07-29,326000,22814,4381,5.207486875142662
"340 EAST 23RD STREET, 11J",2008-03-11,534581,2012-02-13,542025,7444,1434,5.191073919107392
"1 IRVING PLACE, P17D",2006-02-28,845000,2011-06-10,855000,10000,1928,5.186721991701245
"340 CABRINI BOULEVARD, 202",2004-06-15,304200,2014-04-22,322500,18300,3598,5.086158977209561
"60 HENRY STREET, 3C1",2007-03-13,435000,2008-10-24,438000,3000,591,5.0761421319796955
"250 SOUTH END AVENUE, 10G",2004-08-05,410000,2009-12-29,420000,10000,1972,5.070993914807302
"250 EAST 30TH STREET, 9E",2007-05-14,517000,2014-06-06,530000,13000,2580,5.038759689922481
"10 WEST END AVENUE, 10J",2007-08-29,689049,2010-11-30,695000,5951,1189,5.005046257359125
"350 EAST 82ND   STREET, 10F",2007-05-18,488241,2011-02-01,495000,6759,1355,4.988191881918819
"130 SUFFOLK STREET, 148-A",2007-07-20,833000,2011-12-22,841000,8000,1616,4.9504950495049505
"230 RIVERSIDE DRIVE, 3H",2008-06-30,281000,2013-06-27,290000,9000,1823,4.9369171695008225
"230 RIVERSIDE DRIVE, 2A",2008-06-30,481000,2013-06-27,490000,9000,1823,4.9369171695008225
"230 RIVERSIDE DRIVE, 18L",2008-06-30,181000,2013-06-27,190000,9000,1823,4.9369171695008225
"350 WEST 42ND STREET, 16A",2006-06-22,759614,2012-04-19,770000,10386,2128,4.8806390977443606
"515 EAST 72ND   STREET, 30J",2008-12-11,916425,2015-06-18,928000,11575,2380,4.86344537815126
"377 RECTOR PLACE, 14A",2007-10-25,762500,2014-05-06,774000,11500,2385,4.821802935010482
"200 RIVERSIDE BOULEVARD, 5F",2006-06-15,714000,2012-09-14,725000,11000,2283,4.818221638195357
"270 BROADWAY, 16A",2006-10-31,2975000,2018-04-25,2995000,20000,4194,4.768717215069146
"393 WEST 49TH   STREET, 2KK",2008-03-31,485000,2016-11-14,500000,15000,3150,4.761904761904762
"184 THOMPSON STREET, 3O",2007-08-03,492000,2011-12-29,499500,7500,1609,4.661280298321939
"60 EAST 55TH   STREET, 18C",2006-12-19,738231,2013-12-05,750000,11769,2543,4.62799842705466
"80 JOHN STREET, 7A",2007-03-15,577347,2013-07-16,588000,10653,2315,4.601727861771058
"320 EAST 54TH STREET, 8H",2008-02-01,520000,2014-01-15,530000,10000,2175,4.597701149425287
"100 WEST 58TH STREET, 5B",2006-12-27,2006257,2018-06-21,2025000,18743,4194,4.46900333810205
"184 THOMPSON STREET, 6K",2007-06-22,855330,2012-10-17,864000,8670,1944,4.459876543209877
"225 EAST 34TH   STREET, 20B",2008-05-16,1603743,2012-04-05,1610000,6257,1420,4.406338028169014
"515 EAST 72ND STREET, 40A",2014-09-05,2596537,2016-11-01,2600000,3463,788,4.394670050761421
"230 RIVERSIDE DRIVE, 7N",2008-06-30,252000,2013-06-27,260000,8000,1823,4.3883708173340645
"230 RIVERSIDE DRIVE, 7H",2008-06-30,292000,2013-06-27,300000,8000,1823,4.3883708173340645
"230 RIVERSIDE DRIVE, 11M",2008-06-29,152000,2013-06-27,160000,8000,1824,4.385964912280702
"20 WEST STREET, 32D",2006-04-28,661862,2012-08-29,672000,10138,2315,4.3792656587473004
"300 EAST 62ND   STREET, 603",2007-01-05,445000,2013-05-16,455000,10000,2323,4.304778303917348
"392 CENTRAL PARK WEST, 18W",2007-05-11,865512,2013-06-07,875000,9488,2219,4.275799909869311
"220 EAST 65TH STREET, 22J",2006-08-18,755000,2009-11-11,760000,5000,1181,4.233700254022016
"186 WEST 80TH STREET, 4E",2007-07-13,445000,2012-06-15,452500,7500,1799,4.168982768204558
"421 EAST 13TH   STREET, 5C",2008-01-22,1303360,2012-06-08,1310000,6640,1599,4.152595372107567
"435 EAST 76TH   STREET, PHB",2007-10-15,3035000,2017-09-15,3050000,15000,3623,4.140215291195142
