Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,20700,"East Stroudsburg, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,99999.750000,-0.1075,-0.0913,1401.25000,0.0106,0.0334,75.23599040754600,-0.0823,-0.0937,18.0,-0.1000,-0.3077,0.1666,0.1106,0.4449,100.25,8.25,0.0897,22.75,0.2935,0.0,,-1.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,,18.0,-0.1000,-0.3077,0.0000,0.0000,0.0000,0.3668,0.0548,0.3837,0.4875,0,0
201808,32700,"McPherson, KS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,275049.000000,0.0000,0.1004,1779.00000,0.0051,0.1552,154.58461968680050,-0.0051,-0.0474,4.0,0.3333,3.0000,0.2500,,,286.00,-91.00,-0.2414,220.50,3.3664,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,4.0,0.0000,3.0000,0.0000,-0.3333,0.0000,2.1389,1.8974,1.6563,-0.2735,0,0
201808,16180,"Carson City, NV",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,200300.000000,0.0269,0.2918,956.00000,-0.0195,-0.1759,184.32386768363175,0.0708,0.3387,6.5,-0.1875,-0.3158,0.3076,-0.5079,-0.5130,43.25,13.25,0.4417,17.75,0.6961,2.0,-0.5000,-0.5000,0.0,,,0.0,,,2.0,1.0000,-0.3333,8.5,-0.0556,-0.3200,0.3077,0.1827,-0.0081,-0.2538,-0.3455,-0.1491,-0.0396,0,0
201808,20260,"Duluth, MN-WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,262225.000000,-0.0103,0.0759,1254.75000,-0.0081,-0.0796,199.66625727559050,-0.0096,-0.0313,34.0,-0.0286,-0.1807,0.2500,0.0940,1.0764,74.00,-0.50,-0.0067,-50.50,-0.4056,8.0,0.0000,1.0000,0.0,,,8.0,1.0000,0.3333,5.5,4.5000,0.3750,39.5,0.0972,-0.1319,0.1618,0.1332,0.0654,-0.0678,0.4884,-0.0797,0.7639,0,0
201808,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,327050.000000,-0.0088,0.0548,1157.00000,-0.0111,0.0017,273.72729839768800,-0.0211,0.0445,2143.0,-0.0420,-0.1093,0.4234,-0.0631,0.0359,37.50,5.50,0.1719,-0.50,-0.0132,916.0,-0.1358,-0.0895,38.0,-0.0500,-0.3448,508.0,-0.0451,-0.0522,1.0,0.0000,0.0000,2144.0,-0.0420,-0.1093,0.0005,0.0000,0.0001,0.0000,0.0368,0.0526,0.1321,0,0
201808,26900,"Indianapolis-Carmel-Anderson, IN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,194950.000000,-0.0714,0.3042,1570.00000,-0.0095,0.0708,124.84854568300000,-0.0022,0.2809,205.0,0.0149,-0.4058,0.3780,-0.0455,0.0778,50.25,6.25,0.1420,-1.75,-0.0337,126.0,-0.0455,-0.1127,6.0,0.5000,-0.2500,64.0,0.0667,-0.2195,95.0,0.0920,-0.3238,300.0,0.0381,-0.3821,0.4634,0.0327,0.0562,0.0750,-0.0889,0.0588,0.5254,0,0
201808,27300,"Jacksonville, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,94950.000000,0.0556,-0.2491,1178.50000,-0.0572,-0.2721,87.77535269709500,0.2204,0.1147,1.5,0.5000,0.0000,0.3333,,,97.50,-65.50,-0.4018,11.00,0.1272,0.0,,,0.0,,,0.0,,,0.5,-0.5000,,2.0,0.0000,0.3333,0.3333,-0.6667,0.3333,2.5167,0.5401,1.4167,0.7059,1,0
201808,36580,"Oneonta, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,700050.000000,0.0000,,1270.00000,0.0000,,118.11023622047200,0.0000,,2.0,0.0000,,0.0000,-1.0000,,162.50,24.50,0.1775,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,-0.2574,,-0.2647,,0,0
201808,49180,"Winston-Salem, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,119525.000000,0.0040,0.1526,1281.00000,0.0008,-0.0784,91.35456603311775,-0.0042,-0.2074,115.0,0.1275,-0.1636,0.4565,0.1088,0.3080,35.50,-8.50,-0.1932,-28.50,-0.4453,54.0,0.0385,0.1739,2.0,,0.0000,8.0,1.0000,-0.5556,2.5,1.5000,0.0000,117.5,0.1408,-0.1607,0.0217,0.0119,0.0036,0.1067,0.2195,-0.0349,0.5514,0,0
201808,33740,"Monroe, LA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,184425.000000,0.4291,0.5346,1572.00000,0.0841,0.2111,126.40633697712825,0.1222,0.1498,7.5,0.2500,0.0714,0.1333,-0.2004,,123.75,-15.25,-0.1097,6.25,0.0532,2.0,,,0.0,,,2.0,,0.0000,0.0,,,7.5,0.2500,0.0714,0.0000,0.0000,0.0000,0.9153,0.6492,0.4032,0.4032,0,0
201808,29420,"Lake Havasu City-Kingman, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,203500.000000,-0.0027,0.2255,1154.75000,0.0033,0.0246,169.95578487581725,-0.0524,0.2354,49.5,-0.0100,0.2375,0.2727,1.2725,0.2120,87.00,-0.50,-0.0057,-39.75,-0.3136,8.0,1.0000,0.0000,0.0,,,6.0,,0.0000,12.5,11.5000,3.1667,62.0,0.2157,0.4419,0.2525,0.2325,0.1775,0.0926,0.1336,0.0543,-0.0490,1,0
201808,47340,"Wabash, IN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,83600.000000,-0.1158,-0.0685,1069.00000,-0.0138,-0.0643,79.39177778430450,-0.1398,0.0771,3.0,-0.4000,-0.3333,0.0000,,-1.0000,115.25,37.25,0.4776,-312.25,-0.7304,0.0,,,0.0,,,0.0,,,0.0,,,3.0,-0.4000,-0.3333,0.0000,0.0000,0.0000,-0.3894,-0.4708,0.0500,-0.1064,0,0
201808,13900,"Bismarck, ND",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,164950.000000,0.0313,0.0597,1173.50000,0.0258,0.0376,126.34124579114500,0.0091,-0.0442,89.5,0.0529,0.4206,0.2904,0.0286,0.3069,60.00,-16.00,-0.2105,-2.75,-0.0438,20.0,0.0000,0.2500,0.0,,,14.0,0.1667,-0.1250,0.0,,,89.5,0.0529,0.4206,0.0000,0.0000,0.0000,0.1219,0.2538,0.0625,-0.1053,0,0
201808,45460,"Terre Haute, IN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,192475.000000,2.2106,0.4470,1488.75000,0.5905,0.0239,128.57004942848250,1.3018,0.3201,2.0,-0.3333,-0.7143,1.0000,,2.5001,13.00,-132.00,-0.9103,-48.25,-0.7878,2.0,,-0.5000,0.0,,,0.0,,,1.0,0.0000,,3.0,-0.2500,-0.5714,0.5000,0.1667,0.5000,0.8356,-0.3969,1.2449,0.8487,1,0
201808,23300,"Freeport, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,77450.000000,0.0320,0.7230,1384.00000,0.0581,0.3081,53.67290367290300,0.0000,0.1078,10.5,-0.0455,-0.1600,0.0476,-0.9252,,50.50,26.50,1.1042,-94.50,-0.6517,0.0,-1.0000,,0.0,,,2.0,,-0.5000,4.0,1.0000,-0.2000,14.5,0.1154,-0.1714,0.3810,0.1991,-0.0190,-0.3998,0.4993,-0.3205,0.5588,0,0
201808,48540,"Wheeling, WV-OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,120925.000000,0.0659,-0.4425,1332.00000,0.0390,0.0690,82.10598414125875,-0.0442,-0.2337,11.0,0.1000,4.5000,0.3181,0.0603,,45.00,-19.00,-0.2969,-65.75,-0.5937,2.0,-0.7500,,0.0,,,4.0,0.0000,,5.0,0.6667,9.0000,16.0,0.2308,5.4000,0.4545,0.1545,0.2045,0.2043,39.7209,0.2083,7.2857,1,0
201808,41400,"Salem, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,126250.000000,0.0306,-0.1065,1265.50000,0.0197,-0.0235,93.96440909456050,-0.0542,-0.1229,9.5,0.3571,-0.2083,0.3683,-0.1407,0.7681,38.75,0.75,0.0197,-37.25,-0.4901,0.0,-1.0000,-1.0000,0.0,,,2.0,,0.0000,1.5,-0.2500,0.0000,11.0,0.2222,-0.1852,0.1579,-0.1278,0.0329,-0.1110,0.1380,-0.2583,0.4590,0,0
201808,28300,"Keene, NH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,164950.000000,0.0000,-0.3351,1369.50000,-0.0335,-0.0833,133.00949425254775,-0.0107,-0.1178,20.0,0.0000,0.0256,0.2249,0.4993,-0.1229,91.00,-6.00,-0.0619,34.00,0.5965,4.0,,0.0000,0.0,,,0.0,,-1.0000,0.0,,,20.0,0.0000,0.0256,0.0000,0.0000,0.0000,0.4125,0.3867,0.3837,0.3837,0,0
201808,47780,"Washington, IN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,82050.000000,0.0000,,1133.00000,0.0000,,70.60900264783700,0.0000,,3.0,0.0000,,0.0000,,,183.50,31.50,0.2072,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.0000,,0.0000,0.0000,,0.4231,,0.5000,,0,0
201808,31820,"Manitowoc, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,162050.000000,0.1257,0.2272,1388.00000,-0.0177,0.0990,120.13353115726950,0.0591,0.1777,12.5,0.0417,-0.3243,0.2000,-0.4000,-0.2599,63.00,8.00,0.1455,-7.25,-0.1032,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,12.5,0.0417,-0.3243,0.0000,0.0000,0.0000,-0.1159,-0.1906,-0.1744,0.2241,0,0
201808,18900,"Crossville, TN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,100050.000000,-0.0697,0.0848,1315.50000,0.0096,0.0516,72.45858433734900,-0.1384,0.0069,30.5,0.0517,0.0702,0.1311,-0.4570,0.4948,86.00,18.00,0.2647,-44.00,-0.3385,0.0,-1.0000,-1.0000,0.0,,,4.0,0.0000,1.0000,6.5,-0.0714,-0.3810,37.0,0.0278,-0.0513,0.2131,-0.0283,-0.1553,-0.1287,1.0925,-0.1161,0.8000,1,0
